p = 191
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 2886, targetH = 2886
used: Amax=136, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=307591.16 enum=107747.67 packets=11.08 reduce=118.95 merge=199635.42 setup=1630.63 iso=87.23
checks: packet_checked=625598 packet_merged=423663 f1_checked=218267753 f1_merged=424975 f1_classes=1574 slow_count=6 candidates=478130
bounds: old_min=96 old_median=11040 old_max=13056 new_min=14 new_median=22 new_max=96
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[168] 16 27 -6 1 -2 -2  |  [ 16  (-6,1,-2,-2) ; (-8,-1,2,2)  27 ]  | det=1? true
[169] 8 28 -4 -3 -2 0  |  [ 8  (-4,-3,-2,0) ; (-4,3,2,0)  28 ]  | det=1? true
[170] 16 28 -7 0 -2 -2  |  [ 16  (-7,0,-2,-2) ; (-9,0,2,2)  28 ]  | det=1? true
[171] 23 28 -3 -1 -3 -2  |  [ 23  (-3,-1,-3,-2) ; (-5,1,3,2)  28 ]  | det=1? true
[172] 23 28 -5 -1 -3 2  |  [ 23  (-5,-1,-3,2) ; (-3,1,3,-2)  28 ]  | det=1? true
[173] 26 28 -7 -5 -3 -2  |  [ 26  (-7,-5,-3,-2) ; (-9,5,3,2)  28 ]  | det=1? true
[174] 26 28 -9 -5 -3 2  |  [ 26  (-9,-5,-3,2) ; (-7,5,3,-2)  28 ]  | det=1? true
[175] 9 29 -4 0 -2 -1  |  [ 9  (-4,0,-2,-1) ; (-5,0,2,1)  29 ]  | det=1? true
[176] 9 29 -5 0 -2 1  |  [ 9  (-5,0,-2,1) ; (-4,0,2,-1)  29 ]  | det=1? true
[177] 9 29 -4 -2 -2 1  |  [ 9  (-4,-2,-2,1) ; (-3,2,2,-1)  29 ]  | det=1? true
[178] 19 29 -8 1 -3 -1  |  [ 19  (-8,1,-3,-1) ; (-9,-1,3,1)  29 ]  | det=1? true
[179] 19 29 -9 1 -3 1  |  [ 19  (-9,1,-3,1) ; (-8,-1,3,-1)  29 ]  | det=1? true
[180] 21 29 -9 -4 -1 -3  |  [ 21  (-9,-4,-1,-3) ; (-12,4,1,3)  29 ]  | det=1? true
[181] 8 30 0 1 -2 -1  |  [ 8  (0,1,-2,-1) ; (-1,-1,2,1)  30 ]  | det=1? true
[182] 8 30 -1 1 -2 1  |  [ 8  (-1,1,-2,1) ; (0,-1,2,-1)  30 ]  | det=1? true
[183] 9 29 -3 -2 -2 -1  |  [ 9  (-3,-2,-2,-1) ; (-4,2,2,1)  29 ]  | det=1? true
[184] 15 29 -5 -3 -2 -2  |  [ 15  (-5,-3,-2,-2) ; (-7,3,2,2)  29 ]  | det=1? true
[185] 15 29 -7 -3 -2 2  |  [ 15  (-7,-3,-2,2) ; (-5,3,2,-2)  29 ]  | det=1? true
[186] 22 29 -3 1 -3 -2  |  [ 22  (-3,1,-3,-2) ; (-5,-1,3,2)  29 ]  | det=1? true
[187] 22 29 -5 1 -3 2  |  [ 22  (-5,1,-3,2) ; (-3,-1,3,-2)  29 ]  | det=1? true
[188] 23 29 -4 -3 -3 -2  |  [ 23  (-4,-3,-3,-2) ; (-6,3,3,2)  29 ]  | det=1? true
[189] 23 29 -6 -3 -3 2  |  [ 23  (-6,-3,-3,2) ; (-4,3,3,-2)  29 ]  | det=1? true
[190] 17 29 -3 0 -3 -1  |  [ 17  (-3,0,-3,-1) ; (-4,0,3,1)  29 ]  | det=1? true
[191] 17 29 -4 0 -3 1  |  [ 17  (-4,0,-3,1) ; (-3,0,3,-1)  29 ]  | det=1? true
[192] 19 29 -6 -4 -3 -1  |  [ 19  (-6,-4,-3,-1) ; (-7,4,3,1)  29 ]  | det=1? true
[193] 19 29 -7 -4 -3 1  |  [ 19  (-7,-4,-3,1) ; (-6,4,3,-1)  29 ]  | det=1? true
[194] 22 29 -2 -1 -2 -3  |  [ 22  (-2,-1,-2,-3) ; (-5,1,2,3)  29 ]  | det=1? true
[195] 22 29 -5 -1 -2 3  |  [ 22  (-5,-1,-2,3) ; (-2,1,2,-3)  29 ]  | det=1? true
[196] 25 29 -12 -8 -3 -1  |  [ 25  (-12,-8,-3,-1) ; (-13,8,3,1)  29 ]  | det=1? true
[197] 25 29 -13 -8 -3 1  |  [ 25  (-13,-8,-3,1) ; (-12,8,3,-1)  29 ]  | det=1? true
[198] 29 29 -13 -2 -2 -3  |  [ 29  (-13,-2,-2,-3) ; (-16,2,2,3)  29 ]  | det=1? true
[199] 14 30 -5 0 -2 -2  |  [ 14  (-5,0,-2,-2) ; (-7,0,2,2)  30 ]  | det=1? true
[200] 28 30 -12 -5 -2 -3  |  [ 28  (-12,-5,-2,-3) ; (-15,5,2,3)  30 ]  | det=1? true
