p	form_index	Kmax	min_k	represented_ks	count	k	status	decision	nodes	witness	value	gcd	method
47	23	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	23	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	7	[-1, 0, 0, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	23	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	33	[-1, -2, 1, -1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	23	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	6	[-1, -2, 1, 2, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	24	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	24	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	24	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	18	[0, 0, 1, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	24	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	6	[0, 0, 0, -1, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	24	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	18	[-2, -2, -2, -1, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	25	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	25	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	25	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	14	[-1, 1, -1, 0, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	25	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	6	[1, 0, 0, 0, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	25	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	6	[1, 0, -1, 1, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
