p = 107
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 581, targetH = 581
used: Amax=92, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=46665.46 enum=7037.66 packets=2.88 reduce=30.21 merge=39584.52 setup=33115.35 iso=227.54
checks: checked=46370722 merged=182208 slow_count=2413 candidates=183762
bounds: old_min=54 old_median=4158 old_max=4968 new_min=12 new_median=18 new_max=54
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[127] 10 24 -6 1 -2 2  |  [ 10  (-6,1,-2,2) ; (-4,-1,2,-2)  24 ]  | det=1? true
[128] 13 23 -5 1 -3 -1  |  [ 13  (-5,1,-3,-1) ; (-6,-1,3,1)  23 ]  | det=1? true
[129] 13 23 -6 1 -3 1  |  [ 13  (-6,1,-3,1) ; (-5,-1,3,-1)  23 ]  | det=1? true
[130] 15 23 -6 -4 -1 -3  |  [ 15  (-6,-4,-1,-3) ; (-9,4,1,3)  23 ]  | det=1? true
[131] 15 23 -9 -4 -1 3  |  [ 15  (-9,-4,-1,3) ; (-6,4,1,-3)  23 ]  | det=1? true
[132] 17 23 -5 1 -2 -3  |  [ 17  (-5,1,-2,-3) ; (-8,-1,2,3)  23 ]  | det=1? true
[133] 17 23 -8 1 -2 3  |  [ 17  (-8,1,-2,3) ; (-5,-1,2,-3)  23 ]  | det=1? true
[134] 21 23 1 1 -3 -3  |  [ 21  (1,1,-3,-3) ; (-2,-1,3,3)  23 ]  | det=1? true
[135] 18 24 -8 0 -3 -2  |  [ 18  (-8,0,-3,-2) ; (-10,0,3,2)  24 ]  | det=1? true
[136] 24 24 -6 -7 -1 -4  |  [ 24  (-6,-7,-1,-4) ; (-10,7,1,4)  24 ]  | det=1? true
[137] 24 24 -10 -7 -1 4  |  [ 24  (-10,-7,-1,4) ; (-6,7,1,-4)  24 ]  | det=1? true
[138] 20 23 -8 -4 -3 -2  |  [ 20  (-8,-4,-3,-2) ; (-10,4,3,2)  23 ]  | det=1? true
[139] 23 23 -8 1 -4 -1  |  [ 23  (-8,1,-4,-1) ; (-9,-1,4,1)  23 ]  | det=1? true
[140] 23 23 -9 1 -4 1  |  [ 23  (-9,1,-4,1) ; (-8,-1,4,-1)  23 ]  | det=1? true
[141] 15 24 -2 0 -3 -2  |  [ 15  (-2,0,-3,-2) ; (-4,0,3,2)  24 ]  | det=1? true
[142] 15 24 -4 0 -3 2  |  [ 15  (-4,0,-3,2) ; (-2,0,3,-2)  24 ]  | det=1? true
[143] 20 24 -4 0 -4 -1  |  [ 20  (-4,0,-4,-1) ; (-5,0,4,1)  24 ]  | det=1? true
[144] 20 24 -5 0 -4 1  |  [ 20  (-5,0,-4,1) ; (-4,0,4,-1)  24 ]  | det=1? true
[145] 22 24 -8 2 -4 -1  |  [ 22  (-8,2,-4,-1) ; (-9,-2,4,1)  24 ]  | det=1? true
[146] 22 24 -9 2 -4 1  |  [ 22  (-9,2,-4,1) ; (-8,-2,4,-1)  24 ]  | det=1? true
[147] 24 24 -8 -4 -1 -4  |  [ 24  (-8,-4,-1,-4) ; (-12,4,1,4)  24 ]  | det=1? true
[148] 24 24 -12 -4 -1 4  |  [ 24  (-12,-4,-1,4) ; (-8,4,1,-4)  24 ]  | det=1? true
[149] 24 24 -5 0 -4 -2  |  [ 24  (-5,0,-4,-2) ; (-7,0,4,2)  24 ]  | det=1? true
[150] 24 24 -7 0 -4 2  |  [ 24  (-7,0,-4,2) ; (-5,0,4,-2)  24 ]  | det=1? true
[151] 12 23 -5 -4 -2 -2  |  [ 12  (-5,-4,-2,-2) ; (-7,4,2,2)  23 ]  | det=1? true
[152] 15 23 -7 -3 -3 -1  |  [ 15  (-7,-3,-3,-1) ; (-8,3,3,1)  23 ]  | det=1? true
[153] 15 23 -8 -3 -3 1  |  [ 15  (-8,-3,-3,1) ; (-7,3,3,-1)  23 ]  | det=1? true
[154] 18 23 -6 -2 -2 -3  |  [ 18  (-6,-2,-2,-3) ; (-9,2,2,3)  23 ]  | det=1? true
[155] 18 23 -9 -2 -2 3  |  [ 18  (-9,-2,-2,3) ; (-6,2,2,-3)  23 ]  | det=1? true
[156] 19 23 -7 -3 -2 -3  |  [ 19  (-7,-3,-2,-3) ; (-10,3,2,3)  23 ]  | det=1? true
[157] 19 23 -10 -3 -2 3  |  [ 19  (-10,-3,-2,3) ; (-7,3,2,-3)  23 ]  | det=1? true
[158] 22 24 -7 -2 -4 -1  |  [ 22  (-7,-2,-4,-1) ; (-8,2,4,1)  24 ]  | det=1? true
[159] 22 24 -8 -2 -4 1  |  [ 22  (-8,-2,-4,1) ; (-7,2,4,-1)  24 ]  | det=1? true
[160] 23 24 -3 2 -4 -2  |  [ 23  (-3,2,-4,-2) ; (-5,-2,4,2)  24 ]  | det=1? true
[161] 23 24 -5 2 -4 2  |  [ 23  (-5,2,-4,2) ; (-3,-2,4,-2)  24 ]  | det=1? true
[162] 21 23 -3 -1 -1 -4  |  [ 21  (-3,-1,-1,-4) ; (-7,1,1,4)  23 ]  | det=1? true
[163] 21 23 -7 -1 -1 4  |  [ 21  (-7,-1,-1,4) ; (-3,1,1,-4)  23 ]  | det=1? true
[164] 21 24 -4 -3 -1 -4  |  [ 21  (-4,-3,-1,-4) ; (-8,3,1,4)  24 ]  | det=1? true
[165] 21 24 -8 -3 -1 4  |  [ 21  (-8,-3,-1,4) ; (-4,3,1,-4)  24 ]  | det=1? true
[166] 22 26 -4 1 -2 -4  |  [ 22  (-4,1,-2,-4) ; (-8,-1,2,4)  26 ]  | det=1? true
[167] 22 26 -8 1 -2 4  |  [ 22  (-8,1,-2,4) ; (-4,-1,2,-4)  26 ]  | det=1? true
[168] 22 25 -10 -5 -1 4  |  [ 22  (-10,-5,-1,4) ; (-6,5,1,-4)  25 ]  | det=1? true
[169] 25 25 -7 -3 -4 -2  |  [ 25  (-7,-3,-4,-2) ; (-9,3,4,2)  25 ]  | det=1? true
[170] 25 25 -9 -3 -4 2  |  [ 25  (-9,-3,-4,2) ; (-7,3,4,-2)  25 ]  | det=1? true
[171] 25 25 -6 -4 -2 -4  |  [ 25  (-6,-4,-2,-4) ; (-10,4,2,4)  25 ]  | det=1? true
[172] 25 25 -10 -4 -2 4  |  [ 25  (-10,-4,-2,4) ; (-6,4,2,-4)  25 ]  | det=1? true
[173] 20 26 -8 -8 -2 -3  |  [ 20  (-8,-8,-2,-3) ; (-11,8,2,3)  26 ]  | det=1? true
[174] 20 26 -11 -8 -2 3  |  [ 20  (-11,-8,-2,3) ; (-8,8,2,-3)  26 ]  | det=1? true
[175] 21 26 -2 1 -4 -2  |  [ 21  (-2,1,-4,-2) ; (-4,-1,4,2)  26 ]  | det=1? true
[176] 21 26 -4 1 -4 2  |  [ 21  (-4,1,-4,2) ; (-2,-1,4,-2)  26 ]  | det=1? true
[177] 11 25 -2 1 -3 -1  |  [ 11  (-2,1,-3,-1) ; (-3,-1,3,1)  25 ]  | det=1? true
[178] 11 25 -3 1 -3 1  |  [ 11  (-3,1,-3,1) ; (-2,-1,3,-1)  25 ]  | det=1? true
[179] 14 25 0 1 -3 -2  |  [ 14  (0,1,-3,-2) ; (-2,-1,3,2)  25 ]  | det=1? true
[180] 14 25 -2 1 -3 2  |  [ 14  (-2,1,-3,2) ; (0,-1,3,-2)  25 ]  | det=1? true
[181] 17 25 -7 -2 -3 -2  |  [ 17  (-7,-2,-3,-2) ; (-9,2,3,2)  25 ]  | det=1? true
[182] 21 25 -5 -4 -1 -4  |  [ 21  (-5,-4,-1,-4) ; (-9,4,1,4)  25 ]  | det=1? true
[183] 22 25 -6 -5 -1 -4  |  [ 22  (-6,-5,-1,-4) ; (-10,5,1,4)  25 ]  | det=1? true
[184] 18 26 -3 2 -4 -1  |  [ 18  (-3,2,-4,-1) ; (-4,-2,4,1)  26 ]  | det=1? true
[185] 18 26 -4 2 -4 1  |  [ 18  (-4,2,-4,1) ; (-3,-2,4,-1)  26 ]  | det=1? true
[186] 24 26 -11 -4 -4 -1  |  [ 24  (-11,-4,-4,-1) ; (-12,4,4,1)  26 ]  | det=1? true
[187] 24 26 -12 -4 -4 1  |  [ 24  (-12,-4,-4,1) ; (-11,4,4,-1)  26 ]  | det=1? true
[188] 26 26 -13 -6 -4 1  |  [ 26  (-13,-6,-4,1) ; (-12,6,4,-1)  26 ]  | det=1? true
[189] 11 25 -1 0 -1 -3  |  [ 11  (-1,0,-1,-3) ; (-4,0,1,3)  25 ]  | det=1? true
[190] 11 25 -4 0 -1 3  |  [ 11  (-4,0,-1,3) ; (-1,0,1,-3)  25 ]  | det=1? true
[191] 16 25 -5 -2 -2 -3  |  [ 16  (-5,-2,-2,-3) ; (-8,2,2,3)  25 ]  | det=1? true
[192] 16 25 -8 -2 -2 3  |  [ 16  (-8,-2,-2,3) ; (-5,2,2,-3)  25 ]  | det=1? true
[193] 23 25 -10 -1 -4 -1  |  [ 23  (-10,-1,-4,-1) ; (-11,1,4,1)  25 ]  | det=1? true
[194] 23 26 -8 -6 -1 -4  |  [ 23  (-8,-6,-1,-4) ; (-12,6,1,4)  26 ]  | det=1? true
[195] 23 26 -12 -6 -1 4  |  [ 23  (-12,-6,-1,4) ; (-8,6,1,-4)  26 ]  | det=1? true
[196] 19 25 -8 -5 -2 -3  |  [ 19  (-8,-5,-2,-3) ; (-11,5,2,3)  25 ]  | det=1? true
[197] 19 25 -11 -5 -2 3  |  [ 19  (-11,-5,-2,3) ; (-8,5,2,-3)  25 ]  | det=1? true
[198] 21 25 -9 -4 -1 4  |  [ 21  (-9,-4,-1,4) ; (-5,4,1,-4)  25 ]  | det=1? true
[199] 22 25 -9 0 -4 -1  |  [ 22  (-9,0,-4,-1) ; (-10,0,4,1)  25 ]  | det=1? true
[200] 26 26 -12 -6 -4 -1  |  [ 26  (-12,-6,-4,-1) ; (-13,6,4,1)  26 ]  | det=1? true
[201] 18 25 -8 -3 -3 -2  |  [ 18  (-8,-3,-3,-2) ; (-10,3,3,2)  25 ]  | det=1? true
[202] 21 26 -1 0 -2 -4  |  [ 21  (-1,0,-2,-4) ; (-5,0,2,4)  26 ]  | det=1? true
