p = 179
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 2404, targetH = 2404
used: Amax=128, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=236150.09 enum=70289.32 packets=14.11 reduce=102.36 merge=165696.1 setup=1437.9 iso=95.51
checks: packet_checked=620557 packet_merged=397527 f1_checked=159810194 f1_merged=398715 f1_classes=1216 slow_count=5 candidates=403784
bounds: old_min=90 old_median=9720 old_max=11520 new_min=14 new_median=22 new_max=90
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[120] 16 24 -5 -2 -2 2  |  [ 16  (-5,-2,-2,2) ; (-3,2,2,-2)  24 ]  | det=1? true
[121] 8 23 -2 1 -2 0  |  [ 8  (-2,1,-2,0) ; (-2,-1,2,0)  23 ]  | det=1? true
[122] 15 24 0 1 -2 -2  |  [ 15  (0,1,-2,-2) ; (-2,-1,2,2)  24 ]  | det=1? true
[123] 15 24 -2 1 -2 2  |  [ 15  (-2,1,-2,2) ; (0,-1,2,-2)  24 ]  | det=1? true
[124] 16 23 -2 1 -2 -2  |  [ 16  (-2,1,-2,-2) ; (-4,-1,2,2)  23 ]  | det=1? true
[125] 16 23 -4 1 -2 2  |  [ 16  (-4,1,-2,2) ; (-2,-1,2,-2)  23 ]  | det=1? true
[126] 10 24 -2 -2 -1 -2  |  [ 10  (-2,-2,-1,-2) ; (-4,2,1,2)  24 ]  | det=1? true
[127] 2 23 0 0 0 -1  |  [ 2  (0,0,0,-1) ; (-1,0,0,1)  23 ]  | det=1? true
[128] 9 26 -4 0 -1 2  |  [ 9  (-4,0,-1,2) ; (-2,0,1,-2)  26 ]  | det=1? true
[129] 15 25 -3 1 -2 -2  |  [ 15  (-3,1,-2,-2) ; (-5,-1,2,2)  25 ]  | det=1? true
[130] 15 25 -5 1 -2 2  |  [ 15  (-5,1,-2,2) ; (-3,-1,2,-2)  25 ]  | det=1? true
[131] 19 25 -4 -1 -3 -1  |  [ 19  (-4,-1,-3,-1) ; (-5,1,3,1)  25 ]  | det=1? true
[132] 19 25 -5 -1 -3 1  |  [ 19  (-5,-1,-3,1) ; (-4,1,3,-1)  25 ]  | det=1? true
[133] 19 25 -3 -2 -1 -3  |  [ 19  (-3,-2,-1,-3) ; (-6,2,1,3)  25 ]  | det=1? true
[134] 19 25 -6 -2 -1 3  |  [ 19  (-6,-2,-1,3) ; (-3,2,1,-3)  25 ]  | det=1? true
[135] 26 26 -8 -2 -3 -2  |  [ 26  (-8,-2,-3,-2) ; (-10,2,3,2)  26 ]  | det=1? true
[136] 26 26 -10 -2 -3 2  |  [ 26  (-10,-2,-3,2) ; (-8,2,3,-2)  26 ]  | det=1? true
[137] 9 25 0 1 -2 -1  |  [ 9  (0,1,-2,-1) ; (-1,-1,2,1)  25 ]  | det=1? true
